Date,Price
2020-03-05,26000.0
2020-03-06,30000.0
2020-03-09,28000.0
2020-03-10,30000.0
2020-03-11,30000.0
2020-03-12,30000.0
2020-03-13,30000.0
2020-03-16,31000.0
2020-03-17,32000.0
2020-03-18,32000.0
2020-03-19,32000.0
2020-03-20,32000.0
2020-03-23,35000.0
2020-03-24,38000.0
2020-03-25,
2020-03-26,40000.0
2020-03-27,40000.0
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,38000.0
2020-04-03,40000.0
2020-04-06,40000.0
2020-04-07,40000.0
2020-04-08,40000.0
2020-04-09,40000.0
2020-04-10,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,40000.0
2020-04-17,40000.0
2020-04-20,40000.0
2020-04-21,40000.0
2020-04-22,40000.0
2020-04-23,40000.0
2020-04-24,40000.0
2020-04-27,42000.0
2020-04-28,42000.0
2020-04-29,44000.0
2020-04-30,47000.0
2020-05-01,
2020-05-04,45000.0
2020-05-05,45000.0
2020-05-06,47000.0
2020-05-07,
2020-05-08,47000.0
2020-05-11,48000.0
2020-05-12,48000.0
2020-05-13,47000.0
2020-05-14,47000.0
2020-05-15,48000.0
2020-05-18,
2020-05-19,50000.0
2020-05-20,50000.0
2020-05-21,
2020-05-22,50000.0
2020-05-25,
2020-05-26,50000.0
2020-05-27,50000.0
2020-05-28,50000.0
2020-05-29,50000.0
2020-06-01,
2020-06-02,50000.0
2020-06-03,50000.0
2020-06-04,50000.0
2020-06-05,50000.0
2020-06-08,49000.0
2020-06-09,48000.0
2020-06-10,48000.0
2020-06-11,47000.0
2020-06-12,45000.0
2020-06-15,40000.0
2020-06-16,40000.0
2020-06-17,
2020-06-18,
2020-06-19,40000.0
2020-06-22,40000.0
2020-06-23,40000.0
2020-06-24,38000.0
2020-06-25,38000.0
2020-06-26,38000.0
2020-06-29,38000.0
2020-06-30,38000.0
2020-07-01,38000.0
2020-07-02,38000.0
2020-07-03,38000.0
2020-07-06,35000.0
2020-07-07,35000.0
2020-07-08,33000.0
2020-07-09,33000.0
2020-07-10,33000.0
2020-07-13,33000.0
2020-07-14,32000.0
2020-07-15,32000.0
2020-07-16,32000.0
2020-07-17,30000.0
2020-07-20,30000.0
2020-07-21,30000.0
2020-07-22,28000.0
2020-07-23,28000.0
2020-07-24,28000.0
2020-07-27,28000.0
2020-07-28,28000.0
2020-07-29,27000.0
2020-07-30,25000.0
2020-07-31,
2020-08-03,25000.0
2020-08-04,25000.0
2020-08-05,25000.0
2020-08-06,25000.0
2020-08-07,25000.0
2020-08-10,25000.0
2020-08-11,25000.0
2020-08-12,25000.0
2020-08-13,25000.0
2020-08-14,22000.0
2020-08-17,
2020-08-18,22000.0
2020-08-19,23000.0
2020-08-20,
2020-08-21,
2020-08-24,22000.0
2020-08-25,22000.0
2020-08-26,22000.0
2020-08-27,22000.0
2020-08-28,22000.0
2020-08-31,23000.0
2020-09-01,22000.0
2020-09-02,24000.0
2020-09-03,25000.0
2020-09-04,25000.0
2020-09-07,26000.0
2020-09-08,26000.0
2020-09-09,26000.0
2020-09-10,25000.0
2020-09-11,26000.0
2020-09-14,27000.0
2020-09-15,27000.0
2020-09-16,26000.0
2020-09-17,26000.0
2020-09-18,26000.0
2020-09-21,27000.0
2020-09-22,27000.0
2020-09-23,27000.0
2020-09-24,26000.0
2020-09-25,26000.0
2020-09-28,26000.0
2020-09-29,26000.0
2020-09-30,26000.0
2020-10-01,27000.0
2020-10-02,27000.0
2020-10-05,28000.0
2020-10-06,28000.0
2020-10-07,29000.0
2020-10-08,30000.0
2020-10-09,30000.0
2020-10-12,32000.0
2020-10-13,32000.0
2020-10-14,32000.0
2020-10-15,32000.0
2020-10-16,32000.0
2020-10-19,32000.0
2020-10-20,32000.0
2020-10-21,
2020-10-22,32000.0
2020-10-23,32000.0
2020-10-26,32000.0
2020-10-27,32000.0
2020-10-28,
2020-10-29,
2020-10-30,
2020-11-02,34000.0
2020-11-03,34000.0
2020-11-04,34000.0
2020-11-05,34000.0
2020-11-06,34000.0
2020-11-09,35000.0
2020-11-10,35000.0
2020-11-11,35000.0
2020-11-12,35000.0
2020-11-13,
2020-11-16,32000.0
2020-11-17,
2020-11-18,32000.0
2020-11-19,32000.0
2020-11-20,32000.0
2020-11-23,32000.0
2020-11-24,32000.0
2020-11-25,32000.0
2020-11-26,
2020-11-27,32000.0
2020-11-30,30000.0
2020-12-01,30000.0
2020-12-02,30000.0
2020-12-03,
2020-12-04,27000.0
2020-12-07,
2020-12-08,30000.0
2020-12-09,
2020-12-10,30000.0
2020-12-11,30000.0
2020-12-14,30000.0
2020-12-15,30000.0
2020-12-16,27000.0
2020-12-17,26000.0
2020-12-18,25000.0
2020-12-21,26000.0
2020-12-22,26000.0
2020-12-23,24000.0
2020-12-24,
2020-12-25,
2020-12-28,24000.0
2020-12-29,24000.0
2020-12-30,24000.0
2020-12-31,26000.0
2021-01-01,27000.0
2021-01-04,26000.0
2021-01-05,27000.0
2021-01-06,28000.0
2021-01-07,28000.0
2021-01-08,26000.0
2021-01-11,26000.0
2021-01-12,26000.0
2021-01-13,33000.0
2021-01-14,26000.0
2021-01-15,26000.0
2021-01-18,26000.0
2021-01-19,26000.0
2021-01-20,26000.0
2021-01-21,26000.0
